,tweets
171,"""are angry because all of you #TrumpSupporters don't seem to understand that you are asking us to give the #POTUS a level of love patience and understanding that he...denied...US!\"""
172,"""They can go fuck themselves.\n#TrumpSupporters"""
173,"""Country rattled after Trump's positive COVID-19 diagnosis https://t.co/zAsImniQVw https://t.co/xReFF2gySO"""
174,"""@charliekirk11 Oh, we saw how #MAGA reacted to RBG's death - we will give IMPOTUS the same level of respect. \n#TrumpVirus https://t.co/hNCHUm91v8"""
175,"""@mallrat1982 History repeats itself!!!!! Why?  Hilter and evil had to go somewhere. Evil is still here it just keeps coming, and we don't see it over and over we have sheep who fall for the lies and no accountability. Bigots and blamers for our problems, We blame others, look in the mirror"""
176,"""It’s a beautiful day to #WalkAway in DC! Come to the Sylvan Theater at the Washington Monument! I speak at 2:20 PM!\n\nhttps://t.co/TSoEnRsotp"""
177,"""@stillgray Trump is racist.\n\nTrump is fascist.\n\nTrump is psychotic.\n\nTrump is treasonous.\n\nTrump is plotting a coup.\n\nThat damn criminal needs to GO.\n\n#LyingLindsey McConnell and McCarthy nlrb Breonna's Law US Capitol DeSantis Conrad Ann Teefa Marsha Blackburn Flynn 500B Black America"""
178,"""As I read interviews with Trump supporters, I'm shocked at how deeply their delusions about Trump run. \n\nOne thing I see over and over is \"""
179,"""The perfect timing needed to capture all this in a photo makes me question if it’s real. That said, it’s AMAZING. I mean like go down in history type of amazing. U have to find moments of humor where you can😆 #TrumpSupporters #BLM"""
180,""".#Melania: “Who gives a fuck about Christmas stuff and decoration?”\n\nOh...my...fucking...God. #Trump https://t.co/T5TS1jZXrS"""
181,"""Normally I wouldn’t shed a tear for @realDonaldTrump but I hope he doesn’t die because then he would not only become a martyr for the @GOP, his #QanonArmy, #TrumpSupporters, and #TrumpsCult, but they would claim that @JoeBiden really didn’t win the election."""
182,"""This thread is impeccable and informative. It would be nice if #TrumpSupporters and #MAGA would actually take the time to read it."""
183,"""... the woman who was killed when a man plowed his car into a crowd of counter-protesters at the “Unite the Right” rally in Charlottesville three years ago.\"""
184,"""@votevets But isn't everything supposed to be making a profit? Like the USPS? (an institution codified in the Constitution and designed to serve the public vs profit off the public) 😂The mental dissonance of these #maga republican morons is astounding. Magas everywhere overcompensating: https://t.co/U8ppQwceky"""
185,"""Having spent 30 years in healthcare, I never imagined I'd be in a position of mocking anyone with an illness. But that orange son of a bitch in the White House and his criminal #MAGA cult does not deserve any level of respect given that they knew and did NOTHING to stop COVID! https://t.co/ppT4wQxsTj"""
186,"""New York Daily News:\n\n#Trump Supporters charged after girl, 12, dies with #lice infestation.\n\n#TrumpSupporters \nhttps://t.co/5M6arXLyZ7"""
187,"""#WalkAway \"""
188,"""Funny how #TrumpSupporters are quick to say, \"""
189,"""It all makes sense now.. No wait, it really doesn't.. \n #TrumpSupporters \n#TrumpMustGo\n#thursdaymorning https://t.co/6awtqAm6P5"""
190,"""Actual footage of @BristolSheriff @SheriffHodgson heading up his #MAGA road trip. https://t.co/EfeimfOhx7"""
191,"""I voted for @Obama the first time and I liked many things about him. The Right treated him like Hitler, but I know so many #TrumpSupporters that are hard working, kind, non-racist people that want America to work for everyone that will take responsibility instead of complaining."""
192,"""Instant #Karma: #Deranged #Driver Slams into #Car While Flipping Off #TrumpSupporters.\n\nPolice immediately respond.\n\nWatch video https://t.co/o5tyJ2Kb6L https://t.co/CXCTp14nkH"""
193,"""Ready to rock the stage at the #unsilentmajority Rally with my warrior sister ⁦@ShemekaMichelle⁩ in DC! #Walkaway ⁦@RealWalkAway⁩ https://t.co/QKlObDYa3P"""
194,"""#Trumpsupporters are always so full of hate."""
195,"""D.C.: MPD Officers wrestle with BLM agitators at today’s @RealWalkAway rally. Multiple arrests made. #WalkAway https://t.co/qQsyQ8RwWD"""
196,"""I’m getting a lot of angry MAGA people shouting that “the mass graves are not Trump’s fault!”\n\nYES. THEY ARE. The coronavirus is not Trump’s fault. But our government’s HORRENDOUS response to it is 1000% Trump’s fault.\n\nLet’s run through what is INDISPUTABLY Trump’s fault:"""
197,"""Brad Parscale 'is under investigation for stealing $40M from campaign' https://t.co/uMcHsZ9Clm via @MailOnline @GOP @GOPLeader @senatemajldr"""
198,"""@NBCNews Seriously, trying to debate with a moron constantly rambling nonsense is pointless.  Like \"""
199,"""#WalkAway \"""
200,"""https://t.co/wuxlSzAI1x"""
201,"""Even our local giraffe knows what the deal is. #MAGA https://t.co/9UJOK3kWEA"""
202,"""If you are #TrumpSupporters #MAGAts #Republican @GOP you are also a #Fascist https://t.co/37wJyPfBbS"""
203,"""I sent a letter to AG William Barr, requesting that he appoint an independent Special Counsel to open a investigation to determine whether NY AG Letitia James violated any laws by her conduct or rhetoric against President @realDonaldTrump &amp; his family. https://t.co/wPb37uUPj7"""
204,"""🇺🇸🙌This San Diego, California boat parade for \n@realDonaldTrump\n is HUGE💪🇺🇸\n🇺🇸President Donald J.Trump 🇺🇸\n.\nLove❤️ peace💜 FIRST FAMILY🇺🇸\n.\n#americanpresident #donaldtrump #mikepence #trumpsupporters #trump2020 #trumpnation https://t.co/FS9olSNIXn"""
205,"""Backstage at the #WalkAway UNSILENT MAJORITY March on Washington! https://t.co/Cp7hJ1kIgh"""
206,"""@theblaze Why do #TrumpSupporters like being lazy welfare queens?\n\n#DefundRedStates https://t.co/eQLusTrhHI"""
207,"""Dear #MAGA conspiracy theorists,\n\nThe reason you're not seeing Democrats getting Covid is they're wearing masks, social distancing &amp; washing their hands frequently.\n\nThe \"""
208,"""I'll pray for the grocery store, retail, factory workers who died because trump lied about the virus and put them all in danger\n#TrumpHasNoPlan\nI'll pray for everyone who is going to die because they come in contact with the selfish #TrumpSupporters"""
209,"""@maddow I pray they recover swiftly 🙏🏻 #MAGA #WuhanVirus https://t.co/WeKk3fEW29"""
210,"""I’ve had no help from the GOP and i’m not the only #MAGA candidate to have these frustrations. If you really want to see a difference in D.C., back the new candidates that really care about this country and their community.\n\nI’m in my community every day and doing my part."""
211,"""⁦@realDonaldTrump⁩ supporters rally at polling place during #EarlyVoting in Virginia.  #TrumpSupporters #VoteBlue #Vote #BidenHarris2020 #BidensUnitingUS #BidenHarris #Biden2020 #BidenHarrisToSaveAmerica #JoeBiden #Biden #BidenHarris2020Landslide  https://t.co/uHDFXOkFlb"""
212,"""#TrumpSupporters you suck\n#Republicans you suck\nhttps://t.co/LBE68DQEtk"""
213,"""BIDEN’S WISCONSIN WELCOME PARTY: Just look at all those amazing #TrumpSupporters welcoming #JoeBiden to Manitowoc, Wisconsin! Such a friendly group. No rioting or burning anything to the ground!\n#NoHopeJoe\n#WisconsinIsTrumpCountry\nhttps://t.co/UzZg3Bk3Av"""
214,"""Donald can't say there'll be a peaceful transfer of power because he has the #BoogalooBoys, #ProudBoys, neoNazis, KKK, AltRight and other #WhiteSupremacists lined up to commit #terrorism upon his orders. #TerroristsForTrump #TrumpSupporters\n#AmericaOrTrump\nhttps://t.co/UAqjT4EmOR"""
215,"""@theblaze How come #Conservatives are too impotent and stupid to address the issue of RED STATE WELFARE and the massive wealth redistribution from the hardworking MAKER blue states to the lazy welfare red TAKER states? Why do #TrumpSupporters like being on their KNEES for the blue states? https://t.co/k0QOtGzCbK"""
216,"""I can second this message. It’s a lot of undercover #TrumpSupporters I come in contact with especially black peoples."""
217,"""@doubleddana84 @GOPcanSUCKit @kastyle05 @1957Mom @andreanorred @AynRandPaulRyan @JoeBiden Your avi advertises your belief that masks are ineffective rendering your opinions to be null and void."""
218,"""@benshapiro Looking for the #TrumpSupporters to not be so condescending. Keep your eye on the real story. The #POTUS has never taken #COVID19 seriously, maybe now is the time, if not too late."""
219,"""That’s strange, I have never heard of @realstevecox but apparently he has blocked me... I wonder if Twitter has an instant #maga list that asshats that wish the president and the First Lady to die can instantly block https://t.co/2MKgoAFPdB"""
220,"""Can they treat hoaxes at Walter Reed? Asking for a friend!!! #MAGA https://t.co/0Zha0acpWs"""
221,"""Big crowd at the Washington Monument for the #WalkAway rally today! https://t.co/B4tBEW1QuG"""
222,"""I literally spit out my coffee — laughing hysterically — watching this. This woman does Trump better than Trump. 🤣🤣\nhttps://t.co/WLGJnPUPVG"""
223,"""I am in Washington DC speaking at the #WalkAway event in front of the Washington Monument! \n\nI take the stage at 2:18pm ET!"""
224,"""Pundits &amp; Never-Trumpers still don't get why Trump's base remains so loyal to him. Here's why:\n\n-- Trump's endeavored to fulfill every promise he pledged to voters\n\n-- Trump is not politically correct\n\n-- Trump is consistently &amp; unapologetically pro-American\n\n-- Trump fights back"""
225,"""@dbongino He also said that #Trump called his #trumpsupporters deplorable.. Sorry but @JoeBidden that’s a lie and you are a terrible person .. \nJoe Bidden you are a compulsive lier. You are going to loose this election. #Trump2020"""
226,"""We had to share this one 😂\n·\n·\n·\n·\n·\n·\n·\n·\n#trump #maga #kag #donaldtrump #conservative #republican #usa #trumptrain #makeamericagreatagain #america #keepamericagreat #qanon #draintheswamp #wwg #wga #americafirst #a #walkaway #trumpsupporters #presidenttrump #politics #democrats https://t.co/QIPV0BYO0Y"""
227,"""Also watching reporters in Louisville not state that almost every fire that's been set, every gun shot has not been from a Protester, but from the #ArmedMilitia. They are #TrumpSupporters! #TrumpIncitesViolence #BillBarrIncitesViolence"""
228,"""Hurricane Hanna - just now - blowing over Trump’s mighty border wall between the United States and Mexico.... https://t.co/0zNejNLYC9"""
229,"""The sick demented left who ⁦@JoeBiden⁩ ⁦@SenKamalaHarris⁩ ⁦@SpeakerPelosi⁩ lead are now taking the next step of assassination attempts? It’s unconscionable &amp; beyond anything I would have expected but we shouldn’t be surprised. They have declared war on us. https://t.co/KTDOobJHwT"""
230,"""#MAGA2020 #MAGA #Trump #TrumpSupporters #redpill #AllLivesMatter #WhiteSupremacy #WomenForTrump #BlacksForTrump \nWHAT THE FUCK ARE YOU DOING?\nHe’s killing you, he’s letting you die of #coronavirus #Covid_19 and he doesn’t fucking care! Why are you voting for this man? 🥺🤯"""
231,"""I’d be insincere if I didn’t admit that the momentary silence of #TrumpSupporters in “regroup/develop new talking points”  is peaceful. I am well aware that it is merely the quiet before the storm."""
232,"""Here's where words come back to haunt you. MANY times I had #TrumpSupporters come on my Twitter when I talk #COVID19 deaths and say \"""
233,"""How do you feel about Trump supporters watching you vote?"""
234,"""#WalkAway Testimonial: “Our country has a lot of work to do…” https://t.co/6PGbAwSGrE via @YouTube"""
235,"""Hey #Maga!!!  Your boy done gone and caught that there Democrat hoax!!!  \n\nTool bags 😂😷"""
236,"""Genuine question: what will be the relationship between the majority of Americans, and Trumpists after this long, national nightmare ends -- and it will eventually end -- do people anticipate simply letting bygones by bygones with people who joined the Trump personality cult?"""
237,"""THIS WHAT YALL DOING?😭 #TrumpSupporters 🚶🏾‍♀️bye https://t.co/yt00BfaduY"""
238,"""And this is why we can't have low numbers. 😭🤦 For the most part, Utah people are #TrumpSupporters #COVIDIOTS. The picture is at a damn rodeo, in #StGeorgeUtah. There are #NoMasks to be seen, anywhere. I hope these people realize what danger they're placing the community in. https://t.co/vRC0jtzP0H"""
239,"""It looks like #TrumpSupporters are leaving early. #Trump is still talking. #TrumpRally"""
240,"""Hey #MAGA fools\n\nCOVIS's a hoax, huh?\nBe gone by April, huh?\nWe have it under control, huh?\nIt will be gone by summer, huh?\n\nHow long will you continue to listen to the pure lies and bullshit from that orange malignancy in the Oval Office."""
241,"""Cognitive dissonance is a hell of a thing.\n\n#TrumpSupporters #TrumpMeltdown \n\nI wonder how far down in her timeline I’ll have to go to find antisemitism. https://t.co/91fAwVi2SY"""
242,""".@JackPosobiec yes @BrandonStraka #WalkAway is going to Walter Reed."""
243,"""Walter Reed source tells me POTUS is in high spirits, cracking jokes with staff."""
244,"""And this from soldiers/professionals of the party &amp; people of no hate. \nThe D party I registered with 40 years ago is long gone. \nSo am I. \nOur president, support him or not,  is OUR president.\n@RealJamesWoods"""
245,"""Comedy legend Rick Moranis hospitalized after random attack in NYC. His fans are out for blood. https://t.co/nG6ZnKGqMm"""
246,"""#TrumpSupporters \nNo respect for the men and women that fought for your freedoms. Think about, it is that patriotic?\nHe will sell you out in a minute...just plan evil. https://t.co/15KQ2afrOQ"""
247,"""Looks like a protest will be happening in front of Walter Reed! #protest #trump #TrumpSupporters #BLMprotest #protest #VoteHimOut #TrumpHasCorona @NBCNews @CBSNews @ABC7 https://t.co/Ht4V8yDCle"""
248,"""The woman who was arrested and charged with attempted murder after driving through a crowd of #TrumpSupporters in #California has been identified as an event organizer. https://t.co/0deS48Cjis"""
249,"""#TrumpSupporters! Please watch the video below and RETWEET ASAP! MASSIVE #ELECTIONFRAUD UNCOVERED!!! \n👇\nWatch \"""
250,"""@PhaedraXTeddy Why? this is happening under Trump."""
251,"""@DeAnna4Congress Maybe because Republicans feel they don't have to wear mask. #TrumpSupporters"""
252,"""Going to bed early tonight.\n\nTraveling to DC tomorrow for the huge gigantic massive humongous #WALKAWAY EVENT! :D\n\nGonna be hanging out with @tracybeanz and all the great #WalkAwayCampaign patriots! \n\nhttps://t.co/Rt0NZ6b1bD"""
253,"""So much Trump merch in Tennessee, zero made in America. #TrumpSupporters #TrumpIsALaughingStock #TrumpIsANationalDisgrace https://t.co/AiG4yRE3we"""
254,"""I love the #WalkAway hashtag, but I seriously think we need to update it to #RunAway. \n\nThe Left is getting crazier by the minute, I don’t think we can walk fast enough anymore!"""
255,"""At the trump rally in Fayetteville, North Carolina. #TrumpSupporters #TrumpRally #trumprallyfayettevillenc https://t.co/o3GtfgKdSm"""
256,"""Less than 19K? Retweet and drop your handles let's follow you.🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗🇺🇸🚗"""
257,"""Thank you Paul!"""
258,"""It's crazy how much abortion figures into the election (and in 2016). I'll never understand how people so passionate about the possibility of a fetus being aborted care so little about 200,000 dead from coronavirus. So far. #TrumpSupporters #reproductiverights"""
259,"""President Trump was in 7 different states in the 7 days leading up to his #COVID19 diagnosis.\n\nTrump has come into contact with top #TrumpAdministration officials, #SupremeCourt nominee #AmyConeyBarrett, and a number of #TrumpSupporters in the past week. https://t.co/1LiNu84iT6"""
260,"""The White House Knew Trump Had Likely Been Exposed to the Virus. He Traveled and Held Events Anyway. This is how much #Trump and @GOP admin cares about you #TrumpSupporters  https://t.co/FiGEKhew6A"""
261,"""Hey #TrumpSupporters it’s ok to say you messed up in 2016 and voted for the wrong guy. It is now time to fix it instead of making the same mistake a second time. Think about what he promised you, has he delivered any of it yet? #VoteBlue"""
262,"""Not the first Russian I exposed #maga ! https://t.co/yfwtuEiP10"""
263,"""As Trump gets a top taxpayer-financed Covid treatment, pls remember that he paid virtually no taxes and he is suing in court to try and take away healthcare of 30 million Americans. #RoseGardenMassacre #SuperSpreader #GOPSuperSpreaders #CovidCaughtTrump #TrumpHasCovid https://t.co/fjafPPREvF"""
264,"""@realDonaldTrump 🙏🙏🙏🙏❤️❤️❤️🙏🙏🙏🙏🙏🙏get well 4 more years 2 go  #MAGA https://t.co/BmwKNGJ0EQ"""
265,"""Dr. Conley said that we are \"""
266,"""@WildBill_1969 @ProjectLincoln So, in your estimation, the difference between Trump and Hitler was that Hitler had a dog? And having a dog is what made him worse?\n\n#TrumpSupporters logic. https://t.co/qXlG9iCSbY"""
267,"""It was a great day here in #Carlsbad,CA. It’s time to let that Ambien® kick in and call it a day. Wishing all of my followers, fellow #Patriots and #TrumpSupporters a great night.🌙 https://t.co/IJtLvwIqdh"""
268,"""We came to support and pray for our President. Congrats to @BrandonStraka for a spectacular event. #WalkAway  🇺🇸🇺🇸🇺🇸❤️🌈 https://t.co/JYIVTHvCFs"""
269,"""#MAGA We are standing by. #ProudBoysStandby @POTUS #republicans #EvangelicalsForTrump https://t.co/IfDFcCxp69"""
270,"""Do Trump Supporters understand what Fascism means?"""
271,"""@YourAnonNews Shut up bitc*  #MAGA https://t.co/oTR2jXBIPI"""
272,"""@KathleenRMC1 @robsevy Yep. She goes on, “Those disgusting people are the same people that he claims to care about. These are the people still going to his rallies today who have complete faith in who he is. The truth is he doesn’t actually care about anyone else but himself.”\n\nhttps://t.co/477Nj5qREP"""
273,"""@Blake_RESISTS @CanuckCognizant @GOP No they'll blame it on #Dems. They're hopeless #TrumpCult\n\n\"""
274,"""Psst...@realDonaldTrump (and let’s be real) @jaredkushner) it’s time to draft @CLewandowski_ to close this campaign out. He’s smart ferocious and loyal. #maga"""
275,"""Scottish independence party dumps co-founder for expressing support for Donald Trump https://t.co/xVkWaky0hp"""
276,"""#WalkAway \"""
277,"""To all #TrumpSupporters :😐 https://t.co/1UZm3O4Df2"""
278,"""@JohnJHarwood Not in the least\n#MAGA"""
279,"""I’m about to speak at the #WalkAway march in DC! https://t.co/0inloMaPWY"""
280,"""Rumor from an insider:\n\nNewsmax has a lot conservative investor money behind them and see the opportunity to gain a ton of unhappy Fox viewers.\n \nYou betcha.\n\n#maga"""
281,"""#FakePresident #DonaldTrump said that Fake President Donald #TrumpSupporters are #DisgustingPeople"""
282,"""Going welI, I think! Thank you to all. LOVE!!!"""
283,"""#TrumpIsALiar evidence #1 claiming he is a successful millionaire, making 400K a year yet file little income tax ... how much #TrumpSupporters need to realize #TrumpIsTheWORSTPresidentEVER https://t.co/ES8G25zJjZ"""
284,"""#trumpsupporters I’m a ghost if I blow in the wrong direction y’all cry and blame each other I’m about to go break up another one a y’all be in heat head a$$ meetings w/ them weak a$$ sub sub plots af - bye"""
285,"""Trump supporters don't like trump for what he has done for them\n(Nothing). They like him for what he is doing to people they hate."""
286,"""Trump campaign’s in a bad, bad place right now"""
287,"""@enews Her husband knowingly was around people with it, compromising his wife &amp; child. That’s like bringing herpès home. #TrumpSupporters what sacrifice they make for a man who doesn’t give a flip about them. SMH 🤦‍♀️"""
288,"""People are wild. Even if you hate @realDonaldTrump you still have to know he is a dad and his wife is a mom. People have way to much hate. Even @JoeBiden who has more reason than most to hate him wishes him a speedy recovery. #WalkAway"""
289,"""\"""
290,"""@realDonaldTrump #michaelcohen Said #Trump was using the #evangelical \nAnd do not care about them.\n#TrumpSupporters #Pennsylvania Don't be stupid \nHe only wants your vote that's all. #VoteTrumpOut2020 #NotMyPresident"""
291,"""Oh god! @realDonaldTrump @POTUS  quote “Stand back and standby by!” Seriously Mr. President. U couldn’t properly send a message against racists! Seem more like a command for your #TrumpSupporters  to wait to go crazy on Election Day! https://t.co/UFigNKl7xY"""
292,"""To the #TrumpSupporters this one is for you! #fucktrump https://t.co/Vfz8dpitDX"""
293,"""‘What a disgrace.’ — Sen. Chuck Schumer called out Pres. Trump for saying that COVID-19 deaths in blue states shouldn’t count https://t.co/nGCMDxUTmd"""
294,"""Three years ago today, Las Vegas was struck by tragedy when a gunman opened fire on the Route 91 Harvest Festival. It remains the deadliest mass shooting in modern U.S. history.\n\nAs we remember those we lost, we must take action to ensure it never happens again."""
295,"""Hillary Clinton’s former spokesperson.👇🏻👇🏼👇🏽👇🏾👇🏿 This is who they are! Let us never forget it! #GodBlessPresidentTrump #maga https://t.co/1MaDWUCa5c"""
296,"""@ManachainO Stevie Wonder can see it  🤦🏻‍♂️ https://t.co/oACN8lkWNU"""
297,"""#WalkAway’s #UNSILENT March: Happening now in DC! https://t.co/UPOLldI6qu via @YouTube"""
298,"""On the red carpet at the #Walkaway American Women's Townhall in DC. God is good &amp; America is awesome. MAGA BABY!!! https://t.co/WgsKNJDqV8"""
299,"""If this doesn’t sum up 2020, what does? #TrumpSupporters #BidenHarris2020 #RBGRevolution https://t.co/5oP9A7JJBf"""
300,"""#WalkAway \n\nRT @VenturaReport: Thousands of Trump supporters marching in DC for \"""
301,"""#TrumpSupporters be like\n\n#VoteBlueToSaveAmerica #VoteBidenHarrisToSaveAmerica #WearAMask #TrumpIsBroke #TrumpTaxes https://t.co/pdBuc0C248"""
302,"""@rickwtyler #MAGA snowflakes https://t.co/SuSs9Lvvix"""
303,"""Check out C_weezy's video! #TikTok #Trumpsupporters 😂😂😂 https://t.co/dNyEOMYF3H"""
304,"""Got mad at a #TrumpSupporter at work when she complained about the anger towards #DonaldTrump. I told her we SHOULD want him to recover because he has a wife and children but I understand the anger. She says to me:  Well I dont get the anger at all!\"""
305,"""@BobSaggy20 @matt_tornetta @GOP @LizRNC @realDonaldTrump Yes. It is false. \n\nBelieving in conspiracy bull during a pandemic proves #TrumpSupporters are idiots."""
306,"""They are MURDERING US by not mandating that everyone has to wear a mask.  \n\nIt is NOT political, it IS SURVIVAL. \n\nYou #MAGA survivalists can surely understand that, right?\n\n#WearADamnMask https://t.co/0KR8O0FXM3"""
307,"""He will get it too!\n#TrumpSupporters and @realDonaldTrump are gonna take good care of him!"""
308,"""About 30 mins ago DC Police park Officers wrestled with BLM Protesters at today’s @RealWalkAway rally. Multiple arrests have been made. #dcprotest #dcprotests #Breaking #Breakingnews #HappeningNow \n#DC #WashingtonDC #UNSILENT #WalkAway https://t.co/VJXiaGHHzP"""
309,"""Compare how conservatives reacted to &amp; mourned the death of RBG to how Democrats are celebrating Trump contracting COVID.\n\nVote accordingly this November."""
310,"""Who else knows a bunch of shit talking, virus denying, mask hating #TrumpSupporters who have just shut the fuck up for the first time in 6+ months?\n\nAnyone?\nAnyone? https://t.co/AV7DT9CnjT"""
311,"""How would contracting an illness change the president's mind about economic stimulus? What is Nancy implying? #MAGA #TrumpCovid https://t.co/xqmtJynbWC"""
312,"""President Trump gives his iconic thumbs up to reassure Americans as he departs the White House to board Marine 1 heading to Walter Reed Hospital.\n@realDonaldTrump is absolutely amazing. The quintessential leader...\n#PrayForTrump #MAGA https://t.co/4fASxgY0iz"""
313,"""@restartleader We stand TOGETHER.\nWe are united!\n#MIGA\n#MAGA https://t.co/uSoTtHXFxk"""
314,"""Has anyone checked on all those Karen’s out there? #TrumpSupporters #TrumpSuperSpreader https://t.co/rsREoREeg1"""
315,"""Wonderful #WALKAWAY Stories! @tracybeanz interviewing https://t.co/ICjHqiar6k"""
316,"""Here ya GO AZ! \n\nLoud &amp; Proud #TrumpSupporters \n\nDO IT! \n\n#Trump2020LandslideVictory https://t.co/rMgTkK4ER6"""
317,"""God bless Trump and God bless America #MAGA https://t.co/7xK0zwwAwN"""
318,"""Thank you all for the support 🥰 My limit is reached I will follow back slowly...our PATRIOT Fam is growing again 🇺🇸🇺🇸 #MAGA"""
319,"""#TrumpSupporters I’m worried about y’all #Debates2020 #BidenHarris2020"""
320,"""Have you heard that American #entrepreneurship, which has been behind the development of the largest economy in the history of the world, is actually thriving?\n\nNew businesses are being started at fastest pace in decade (by @kerry_edu):\n\nhttps://t.co/3CIqkmeEhr\n\n#TeaParty #MAGA"""
321,"""I was wrong about the Democratic Party #walkaway https://t.co/txDevyGXgB via @Politic_Chatter"""
322,"""BREAKING: Cardi B and her sister are getting sued for defamation ‼😂😂😂\n\n#TrumpSupporters GOOD JOB. They picked the right ones. 🇺🇲🇺🇲\n\n#DoniTheDon https://t.co/jYfn5UvCph"""
323,"""@KatieDaviscourt The actual animation how it works.  #SeattleRiots #TrumpSupporters https://t.co/RSPE2mlXHy"""
324,"""BREAKING: Trump supporters hold flash mob outside Bethesda hospital https://t.co/sQfJ4wmKSd"""
325,"""#TrumpSupporters #WhiteSupremacy \n\nThe “tolerant” right. https://t.co/O872Jo7DOW"""
326,"""@JoeBiden @KamalaHarris It’s looking like #Americans have jumped on the #TrumpTrain2020 ...We’re coming at ya full force! There is NO STOPPING THE #TrumpSupporters NOW!    BE PREPARED FOR A #Trump2020Landslide ITS GOING TO ROCK THE UNITED STATES OF AMERICA LIKE YOU’VE NEVER SEEN! https://t.co/ywum7mZlj2"""
327,"""dOnald tRump’s Boogaloo thugs terrorizing folks in Louisville. 🤬 https://t.co/X2iLAc0yWh"""
328,"""LMAO...😂😂😂!!!\n\n#trump #trumpsupporters #maga #donaldtrump #trumptrain #kag #trumpmemes #makeamericagreatagain #republican #keepamericagreat #buildthewall #conservative #trumpforpresident #womenfortrump #americafirst #draintheswamp #walkaway #presidenttrump #trumprally #bhfyp"""
329,"""#MAGA Power"""
330,"""Just ran into @BuzzPatterson at the #WalkAway Women’s Town Hall in Washington DC! \n\nHe’s running for Congress in California. Y’all support his campaign. \n\nLET’S TAKE BACK CALIFORNIA! https://t.co/0O6rTXwZAC"""
331,"""Sad she had to remind people she was on the ballot lol!"""
332,"""@jstmeinmo #TrumpSupporters are not particularly smart, savvy, or connected to reality...just the way he likes them. He'd better balance his lust for adulation with his need for votes- too many #TrumpDeathRallies will kill these idiots &amp; the only #MAGA2020Landslide will be at the cemetery. https://t.co/WMCdYH9c1Z"""
333,"""My personal favorite.\n\n#TrumpSupporters #Hypocrisy https://t.co/xWDQh2T3q5"""
334,"""For all you #TrumpSupporters .  All of your heads have been SO f***ed with for past 4 years you didn't even know it.🤣🤣🤣🤣🤣 #BidenHarrisLandslide2020 #VoteBlue2020"""
335,"""@zsazsa1953 @wilma12372653 @EricTrump 😂😂😂 insults, how left of you. 🤦‍♀️ #walkaway"""
336,"""No one has ever spray-painted the \"""
337,"""#TrumpSupporters  were all exposed and at risk of it now, however I did see a few intelligent people during his rallies wearing masks. I do hope it was enough to protect them and their family without the CDC's \"""
338,"""Grown man throws a toddler-sized hissy fit on live TV because he's called out for pushing Dem talking points. \n\nIt's time to #WalkAway from Fox.\n\nhttps://t.co/uk29DHExce"""
339,"""Looking forward to all the kind-hearted expressions of sympathy to Trump and Melania from the blue-checkmark Left."""
340,"""Turn his back on the American people. Par for the course with Trump. #TrumpTaxReturns https://t.co/hqGY5i48VN"""
341,"""@Clyder36657669 @DearyPie @kirkacevedo Really, 85 (that's your IQ level - dull / normal)? You had to bring in dogs when they weren't even part of this tweet?  A dog would eat tRump's shrimpy fingers, just like Uncle Sam tried to do! 🤣😂 Just look at the commander-in-quife flinch!! https://t.co/9mk0xSFZXc"""
342,"""Goodnight or good morning to all you beautiful😴 #TrumpSupporters https://t.co/UfFHKHiRB9"""
343,"""Silver lining...liberals are showing us all how nasty &amp; evil they are. No compassion. Hateful. We see you👀\n#TrumpCovid #MAGA"""
344,"""Lost Cause: @RealCandaceO says ANIFA &amp; BLM are going into Black American neighborhoods and taking away jobs and industries in the name of fighting against racism. #MAGA #AmericaFirst #Dobbs https://t.co/CJZdJ2gV9x"""
345,"""@realDonaldTrump #TrumpSupporters will  not get 2 face liar, doesn’t work for Americans, works hIs self interest, and never fulfill his commitments. His endeavors always come short and undisciplined. Not good business man. Not pro-American, willing to sell and sacrifice our lives for his games. https://t.co/1MCFfuFSqA"""
346,"""That about sums up #TrumpSupporters. https://t.co/U2OLav57bI"""
347,"""Don’t worry @POTUS like you said we are  going to have a vaccine very soon couple days this week, and the Democratic Hoax going to just disappear. So sit tight or lay tight.🤓. A #MAGA  vaccination is coming to you soon."""
348,"""@IvankaTrump #MAGA+A 😂😂ENDLESS🤣BULL☠️SHIT😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂SAME👌🏻TIRED👌🏻OLD👌🏻RANTING🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂your life is NOW and FOREVER a joke...🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣😂DESPERATE☠️IDIOT☠️LOSER☠️🇺🇸☠️ https://t.co/O5IPz5bYfn"""
349,"""#TrumpSupporters continue to show the world they're the dumbest humans on earth! They're putting their lives at risk for #conman #Trump, who couldn't care less if every one of these attendees gets sick and dies in the next few weeks.\n\nHe hates them &amp; actually wants them to die."""
350,"""Thank u to all the #Trumpsupporters tht hv gone to the hospital and r waiving ur flags. God bless u all https://t.co/FHCJkmeXVt"""
