,tweets
33,"""Trump cannot denounce his base? #TrumpSupremacistInChief #TrumpsAmeriKKKa #TrumpSupporters https://t.co/kUd98BfkQN"""
34,"""I'll pray for all the #healthcareworkers (and their families) who died and are still dying because\n#TrumpLiesAmericansDie \nI'll pray for all the healthcare workers who will die because of #TrumpSuperSpreaders"""
35,"""I feel so blessed to live in this great country. #maga https://t.co/QESuFpEQpu"""
36,"""Praying for the swift recovery of my father and Melania and for all those impacted by COVID-19.\n\nAs they fight this together, the President will continue to fight for the people of this great country."""
37,"""Mr President are you alright sometimes people’s get creative with the things you had said in the past for example take a look at this #45potus how is the treatment is going #MAGA https://t.co/nm9D6HTpKx"""
38,"""How many trump supporters do I have to fucking report from that one tweet I did yesterday I mean literally, how many???? #TrumpSupporters #Russiabot #TrumpCovid https://t.co/2V8kVuSiFJ"""
39,"""#trump #protrump #maga #republican #conservative #usa #conservativememes #america #rightwing #makeamericagreatagain #kag #proamerica #wethepeople #donaldtrump #progun #right #lovetrump #republicanmemes #trumpsupporters #americafirst #prolife #trumptrain #womenfortrump #walkaway https://t.co/YinFsssQqm"""
40,"""Trump supporters are calling for a delay in the election. They say it’s not fair be a their candidate has the sniffles."""
41,"""#WalkAway’s #UNSILENT March. See official livestream here: https://t.co/vrxPGyQydp https://t.co/HWLUxJzUfB"""
42,"""Biden REFUSED to use the term, LAW &amp; ORDER! There go the Suburbs."""
43,"""On another note for those of you #TrumpSupporters now you see how important it is to wear a mask. Look at y’all leader https://t.co/a6VpXoLL4t"""
44,"""#TrumpSupporters How can it be that 2.5 million would have died from #Covid19, as #Trump says, if it's in fact a hoax? Your leader says 2.5 million would have died, yet you claim 200,000 deaths from #Covid is way over-reporting the number of deaths. #QAnon idiots. #ScienceMatters"""
45,"""@realDonaldTrump Hey #TrumpSupporters @realDonaldTrump thinks if he can keep you SCARED &amp; full of HATE you'll keep believing all of his lies and he can keep DESTROYING, our lives, the country, our democracy, standing in the world and keep being the CORRUPT, LAWLESS, CRIMINAL that he is! WAKE UP! https://t.co/F5GyNxeuIA"""
46,"""We all belong! This is wrong legally, morally, ethically, humanely.  #ProudBoys \n#TrumpSupporters \n#TrumpLied200KAmericansdied \n#TrumpIsALaughingStock \n#TrumpIsAHeartlessPsychopath \n@F_Trump4Ever"""
47,"""@LoneEagal21 @CLewandowski_ @newconfidence02 Too bad #Progressives fund this nation and #TrumpSupporters are the welfare queens. https://t.co/htlrsaGGHx"""
48,"""I love how #Trumpsupporters will always be like “I don’t trust medicine and science” but then will go around bragging about a Sky Daddy that grants wishes if you’re good and sends you to an oven if you’re bad. #Conservatives"""
49,"""Apparently what happens when you dare to speak a #walkaway pro-Trump view in a new pro-Independence party that claims to stand up for free speech in Scotland. I thought we all were free to disagree? \n\n@BrandonStraka @DrKarlynB @TheOfficerTatum @Breaking911 @RickyRebelRocks"""
50,"""The coronavirus moved on me like a bitch!!!! #MAGA"""
51,"""#TRUMP2020ToSaveAmerica #Maga Compare for yourselves... https://t.co/1xzKFlrnmk"""
52,"""@realDonaldTrump Trump refuses to denounce #WhiteSupremacy. Not all Trump Supporters are racist, but make no mistake... all racists are #TrumpSupporters. You know that, everyone knows that. #TrumpIsARacist https://t.co/CiA9xeqW3V"""
53,"""I am sorry for being honest #TrumpSupporters https://t.co/woB7icmr5B"""
54,"""This guy is a lying piece of garbage. THAT’S CONFIRMED.  https://t.co/5z2djQYtGr"""
55,"""Trump's contempt for other people's health and safety has Secret Service agents angry https://t.co/skyiAwVOVy @GOP @Potus #TrumpSupporters #Trumpcovid #TrumpKnewAmericansDied #TrumpSuperSpreaders #GOPSuperSpreaders #GOPCorruptionOverCountry #GOPDeathCult"""
56,"""You stupid #TrumpSupporters that are blocking #voters are terrorists!! \nWill this never stop? Are you people that inbred that you can’t see what you are doing is wrong? \n#BidenHarris2020"""
57,"""If Pence takes control, Trump will never get the power back."""
58,"""Stay strong mister President! @realDonaldTrump ‘Stand back, stand by’ #corona #maga https://t.co/0QVNr8sMJm"""
59,"""Getting ready for the #270TrumpParade tomorrow! It's gonna be YUGE! #OhioTrumpsBiden #BuckeyeNationForTrump #WalkAwayOhio #Cbus #Blexit #Lexit #OhioTrumpParade #OhioForTrump #MAGA #KAG #Trump2020 #KAG2020 🇺🇸 https://t.co/vuFWkwbi6c"""
60,"""LOOK AT THIS CROWD!!! #WalkAway #Unsilent https://t.co/AaLVs7raIJ"""
61,"""@JLPtalk 1 in 1000 black americans have died because of Trump. #maga #TrumpCovid"""
62,"""All the #trumpsupporters who were so anti-mask, even taking to guns to protest mask-wearing as though liberals were trying to kill them, are now crying for Trump. Ridiculous. Called it a hoax. Liberals should - and will - call out the hypocrasy and lies. #TrumpHasCovid"""
63,"""Trump Jr. and Sean Hannity really enjoyed joking about COVID-19 precautions on debate night https://t.co/q3NjvVUqUs @DonaldJTrumpJr @seanhannity #GOPSuperSpreaders #TrumpSupporters #GOPCorruptionOverCountry #GOPHypocrisy #RepublicanCovidCluster #RepublicanVirus"""
64,"""We’re live NOW and starting SOON!!! #WalkAway’s #UNSILENT Majority March on DC‼️ Watch LIVE NOW: https://t.co/vrxPGyQydp\n@PeteHegseth @realDonaldTrump @LaraLeaTrump @FoxNews"""
65,"""@realDonaldTrump As long as it’s going well - maybe you have time to watch yourself.. and reflect... maybe send an apology... that would be #MAGA\n\nhttps://t.co/thcvhlZJnd"""
66,"""Dutch 🇳🇱 Lawmakers Demand Answers After U.S. Ambassador 🇺🇸 Holds Party For Right-Wing Populists 🤬 At Embassy\n\nhttps://t.co/jY2Sv8eOR8\n\n#Netherlands 🇳🇱 #Europe 🇪🇺 #EU #UnitedStates 🇺🇸 #RightWing #Diplomacy #TrumpSupporters 😳 #TrumpIsANationalDisgrace 🤦‍♀️"""
67,"""#WhosSideAreYouOn\n#TrumpSupporters\n\nAfter Trump’s night of abhorrent bullying, how can anyone still stand by him?\nhttps://t.co/COtG6LMHZb"""
68,"""Nightmare Scenario: @TomFitton fears the radical left will count votes weeks after Election Day &amp; work with Big Tech to suppress &amp; censor any concerns about voter fraud.  #MAGA #AmericaFirst #Dobbs https://t.co/WeVHik3lJA"""
69,"""#trump #maga #kag #republican #conservative #donaldtrump #usa #keepamericagreat #makeamericagreatagain #qanon #wga #america #draintheswamp #americafirst #trumpsupporters #walkaway #thegreatawakening #fakenews"""
