,tweets
41,"""Team-GO TRUMP! #MakeAmericaGreatAgain https://t.co/xmCVaYw0Ft Honored to their colours with Homin and whiff the poghue like"""
42,"""@KAG2020 #MAGA2020 #TrumpTrain\n@JpcollinsH\n@Adell43600342\n@elmarie_west\n@theplains6\n@atvguy\n@Nina888881\n@BanfordBilly\n@EddyOsullivan3 \nKnow Your Enemy https://t.co/KHfJG4VLNJ"""
43,"""Good luck to my fav non-Roma accnts:\n\n-@Murxelago #BuildTheWall \n-@ConteIsBald Pray your village water is poisoned\n-@SiNuTrmon Your selfies are all the same\n-@drusso2235  @Napolitando Your owner is a rat\n-@TonyMellace7 You're really from Albania\n-@IcardisSidePart Mexican PSG fan"""
44,"""@marklevinshow #MAGA+A 😂😂ENDLESS🤣BULL☠️SHIT😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂SAME👌🏻TIRED👌🏻OLD👌🏻RANTING🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂your life is NOW and FOREVER a joke...🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂😂🤣😂🤣😂🤣😂🤣😂🤣😂DESPERATE☠️IDIOT☠️LOSER☠️🇺🇸☠️ https://t.co/SCwcP9ZkPs"""
45,"""@realDonaldTrump #maga #trump #kag #donaldtrump #conservative #republican #usa #makeamericagreatagain #wwg #qanon #wga #america #keepamericagreat #trumptrain #draintheswamp #politics #a #americafirst #walkaway #freedom #thegreatawakening #buildthewall #q  #trumpsupporters #bhfyp"""
46,"""Please read me correctly- I don’t want him to die - I just do not care if he is dead or alive. I want Biden as President and I want this bulllshit #MAGA movement to be smashed. His illness doesn’t change that we need to be on attack until Biden is sworn in. And then some. VOTE"""
47,"""#TrumpTaxReturns #Ohio #TrumpSupporters  What do you think of your so called President now ?  Still don't think he is not a fraud ?"""
48,"""Why is it assumed the president got the virus while campaigning or doing something irresponsible? He could have gotten it while doing his job at the White House and despite the very tight protections in place there. The media narrative is based on no facts whatsoever."""
49,"""Now everytime I hear them say #ProudBoys I’ll envision this 😂\n#MakeAmericaGreatAgain https://t.co/lQE2GUzRV1"""
50,"""#TrumpSupporters  are the type of mfs to tell Puerto Ricans to go back to their country."""
51,"""Praying for a Speedy recovery #Trump2020 #MakeAmericaGreatAgain"""
52,"""I’m with @realDonaldTrump #MAGA https://t.co/VgfvdDQBX5"""
53,"""Trump cannot denounce his base? #TrumpSupremacistInChief #TrumpsAmeriKKKa #TrumpSupporters https://t.co/kUd98BfkQN"""
54,"""I'll pray for all the #healthcareworkers (and their families) who died and are still dying because\n#TrumpLiesAmericansDie \nI'll pray for all the healthcare workers who will die because of #TrumpSuperSpreaders"""
55,"""I feel so blessed to live in this great country. #maga https://t.co/QESuFpEQpu"""
56,"""Riding the #TrumpTrain baby on 270 in Cbus 🇺🇲 https://t.co/GmtOMQYQLE"""
57,"""https://t.co/eullWrX8Am"""
58,"""Praying for the swift recovery of my father and Melania and for all those impacted by COVID-19.\n\nAs they fight this together, the President will continue to fight for the people of this great country."""
59,"""Steve Bannon is on Tucker saying his mission is to stop the Democrats \"""
60,"""Teen arrested, second suspect sought after ambush of DPS troopers in Phoenix  https://t.co/hKIQMbTUdr No \"""
61,"""Mark Kelly: Arizona Senate race winner should be sworn in \"""
62,"""JUST IN: The House overwhelmingly approved, 371-18, a bipartisan resolution condemning the far-right, baseless QAnon conspiracy theory. \n\nThe resolution has no force of law, but it is the first time Congress is on record condemning the conspiracy."""
63,"""Mr President are you alright sometimes people’s get creative with the things you had said in the past for example take a look at this #45potus how is the treatment is going #MAGA https://t.co/nm9D6HTpKx"""
64,"""How many trump supporters do I have to fucking report from that one tweet I did yesterday I mean literally, how many???? #TrumpSupporters #Russiabot #TrumpCovid https://t.co/2V8kVuSiFJ"""
65,"""#trump #protrump #maga #republican #conservative #usa #conservativememes #america #rightwing #makeamericagreatagain #kag #proamerica #wethepeople #donaldtrump #progun #right #lovetrump #republicanmemes #trumpsupporters #americafirst #prolife #trumptrain #womenfortrump #walkaway https://t.co/YinFsssQqm"""
66,"""My mom has cancer but she didn’t want to miss riding in the #TrumpTrain in So. Tx! 🇺🇸 @realDonaldTrump @DonaldJTrumpJr https://t.co/oX2uDRugLa"""
67,"""Trump supporters are calling for a delay in the election. They say it’s not fair be a their candidate has the sniffles."""
68,"""These radical liberals have no shame. They are so blatantly hypocritical it’s embarrassing. \n\nNow the Governor of Michigan says #BuildTheWall ——(only around my mansion) \n\nSurely she’s isn’t concerned about any #PeacefulProtests around her home."""
69,"""#WalkAway’s #UNSILENT March. See official livestream here: https://t.co/vrxPGyQydp https://t.co/HWLUxJzUfB"""
70,"""Biden REFUSED to use the term, LAW &amp; ORDER! There go the Suburbs."""
71,"""“I brought back 7 hundred thousand jobs, they brought nothing“\n#ArgentinaSupportsTrump 🇺🇸\n#MakeAmericaGreatAgain"""
72,"""On another note for those of you #TrumpSupporters now you see how important it is to wear a mask. Look at y’all leader https://t.co/a6VpXoLL4t"""
73,"""You know you want to hear every thing in my environment.\nLet's stop playing\n#BuildTheWall"""
74,"""Many people at the event to celebrate the @SCOTUS nomination have tested positive.\nNone of them were wearing masks.\nEveryone there needs to quarantine for 14 days.\n4 on the Senate judiciary committee are positive.\n@VP Pence is on the road campaigning.\n#MakeAmericaGreatAgain #MAGA"""
75,"""Give the #TrumpTrain more gas https://t.co/zpfak1gpqM"""
76,"""#TrumpSupporters How can it be that 2.5 million would have died from #Covid19, as #Trump says, if it's in fact a hoax? Your leader says 2.5 million would have died, yet you claim 200,000 deaths from #Covid is way over-reporting the number of deaths. #QAnon idiots. #ScienceMatters"""
77,"""Do you remember what you were doing when you found out that #COVIDcaughtTrump?\n\nPlease add your reply with the hashtag and retweet."""
78,"""I wasn't even born yet when Biden was first elected...\n\n#DrainTheSwamp"""
79,"""@realDonaldTrump Hey #TrumpSupporters @realDonaldTrump thinks if he can keep you SCARED &amp; full of HATE you'll keep believing all of his lies and he can keep DESTROYING, our lives, the country, our democracy, standing in the world and keep being the CORRUPT, LAWLESS, CRIMINAL that he is! WAKE UP! https://t.co/F5GyNxeuIA"""
80,"""Something tells me, shit's about to get real."""
81,"""We all belong! This is wrong legally, morally, ethically, humanely.  #ProudBoys \n#TrumpSupporters \n#TrumpLied200KAmericansdied \n#TrumpIsALaughingStock \n#TrumpIsAHeartlessPsychopath \n@F_Trump4Ever"""
82,"""Check this out Patriots!  Everybody ready for tonight!  All Aboard #TrumpTrain https://t.co/vlRb0Lfcft"""
83,"""I wish the #TrumpTrain would... https://t.co/5NQs8AGH8G"""
84,"""@LoneEagal21 @CLewandowski_ @newconfidence02 Too bad #Progressives fund this nation and #TrumpSupporters are the welfare queens. https://t.co/htlrsaGGHx"""
85,"""I love how #Trumpsupporters will always be like “I don’t trust medicine and science” but then will go around bragging about a Sky Daddy that grants wishes if you’re good and sends you to an oven if you’re bad. #Conservatives"""
86,"""Apparently what happens when you dare to speak a #walkaway pro-Trump view in a new pro-Independence party that claims to stand up for free speech in Scotland. I thought we all were free to disagree? \n\n@BrandonStraka @DrKarlynB @TheOfficerTatum @Breaking911 @RickyRebelRocks"""
87,"""The coronavirus moved on me like a bitch!!!! #MAGA"""
88,"""#TRUMP2020ToSaveAmerica #Maga Compare for yourselves... https://t.co/1xzKFlrnmk"""
89,"""Hey folks #RidinWithBiden, Joe is on the #TrumpTrain! https://t.co/XLMMw7iizm"""
90,"""Navy SEALs change official ethos to be gender neutral, remove ‘brotherhood’ and 'man' - @AmerMilNews"""
91,"""JUNE ‘16 FBI already spying on Trump 6 months, \nCLINTON JUDGE\nDENIED 1st FISA APP\nw/o dossier\nTrump had promised\n#DrainTheSwamp #LockHerUp\nMUST STOP TRUMP AT ALL COSTS\n1st In 10,000 FISA Apps Denied by Court - DOJ IG Horowitz LEFT THIS OUT of His Report! https://t.co/A9gIkIBkxZ"""
92,"""President Trump speaking at one of his many successful rallies regarding the Deep State coup attempt, \n“We caught them cold”! \n\nTrump has achieved more in Govt in 47 months than Joe Biden has in 47 years, LET THAT SINK IN FOR A MINUTE!🤔\n\n#DrainTheSwamp\n#TrumpPence2020 \n#VoteGOP https://t.co/dWaKissfTH"""
93,"""Families reunited in 'Hugs Not Walls' event at U.S.-Mexico border\nEuroTV - 27 Oct 2019\n\n300+ families wore blue shirts while their counterparts wore white ...\n\nVIDEO https://t.co/Q58MNjqlLz\n\n#BuildTheWall #FinishTheWall\n#QuikTake qt-wall-vid-157 by #borderObserver https://t.co/GziVjr8lX1"""
94,"""Is this god or a publicity stunt? #MakeAmericaGreatAgain"""
95,"""@realDonaldTrump Trump refuses to denounce #WhiteSupremacy. Not all Trump Supporters are racist, but make no mistake... all racists are #TrumpSupporters. You know that, everyone knows that. #TrumpIsARacist https://t.co/CiA9xeqW3V"""
96,"""I am sorry for being honest #TrumpSupporters https://t.co/woB7icmr5B"""
97,"""@GovWhitmer Is the new 8ft tall fence around the Michigan governor's mansion \"""
98,"""This guy is a lying piece of garbage. THAT’S CONFIRMED.  https://t.co/5z2djQYtGr"""
