,tweets
173,"""Lmao!!! #TrumpHasCovid 🤣 You can pray for him. I'll just #standbackandstandby 😂 let #COVID19 do gods work #trumpsupporters suck 😂 #karensgonewild @realDonaldTrump #karma #coronavirus #JusticeforBreonnaTaylor #LafayetteShooting #traderjoesshooting #murder #PoliceBrutality https://t.co/wkyVaRTjUH"""
174,"""History repeats itself but those who turn a blind eye are doomed to repeat it. In 2005, #Obama had no problem meeting with \"""
175,"""this is for everyone making fun of Trump 😡 #JusticeforTrump #MakeAmericaGreatAgain https://t.co/EZ3Hi7AKuV"""
176,"""@realDonaldTrump Sound familiar! This is what the left is pushing! #DrainTheSwamp #BlueLivesMatter #4MoreYears https://t.co/UIKaUzB4Qk"""
177,"""20% of this country is holding the other 80% hostage with overt lies, conspiracy theories, racism, homophobia, &amp; antiquated \"""
178,"""I am going on record- I believe we are going to hear that Mexico will pay for the wall... before the election. \n#BuildTheWall"""
179,"""And now .. what some of you have been waiting for: Scenes from Pres. Donald Trump's rally at Grand Aire airport in Swanton, Ohio on Monday, Sept. 21. #trump #trumpsupporters #photojournalism #onassignment https://t.co/2YUyixMluI"""
180,"""2 died of Ebola: They said Barack Obama should resign. \n\n4 died in Benghazi: They had Hillary Clinton testify for 11 hours, held 33 hearings, and launched a multiyear probe.\n\n203,447 died thanks to Donald Trump’s gross incompetence: They cheered him on, and demand 4 more years."""
181,"""Can a career politician change his spots?\n\n#DrainTheSwamp https://t.co/J1G9dkVboQ"""
182,"""GOD BLESS AMERICA #MAGA #Trump2020 https://t.co/eJZjpzSY4I"""
183,"""by 55%-39%, white men in new Quinnipiac national poll favor Trump over Biden\n\nby 53%-43%, white men also say Trump is dishonest"""
184,"""Trump's COVID19 diagnosis must be scary news for a group of people who aren't in the headlines https://t.co/wHzYwlpjgg #TrumpSupporters #TrumpCovid #TrumpSuperSpreaders #GOPSuperSpreaders #GOPCorruptionOverCountry #TrumpKnewAmericansDied #TrumpIsATraitor #TrumpIsANationalDisgrace"""
185,"""Karma is a b*tch. Trump \"""
186,"""87 year old republican Chuck Grassley refuses to get tested despite being at the WH event. Republicans really are that fucking selfish and stupid. #VoteBlue2020 #maga"""
187,"""Remember in November when YOU vote\n\nDems don't give a damn about you, your family \n\n#walkaway #buildthewall #borders #maga https://t.co/kcH1BZjSAv"""
188,"""I have read every @StephenKing novel and am a big fan especially because he has a #corgi but let’s not be evil as we need to take the high road and not stoop below the #TrumpSupporters"""
189,"""@DiamondandSilk My Money Is On President Donald J @realDonaldTrump\n\nWithin almost 4 yrs Pres Trump has done amazing things – 47 yrs #JimCrowJoe hasn’t done anything.\n\nIf you are on the fence get off the fence walk through the gate drop on the #TrumpTrain &amp; Vote for Donald J Trump https://t.co/oaL1TnRRUK"""
190,"""People want respect for our Anthem and our Flag. Ratings will only get worse! Didn’t we go through this once before?"""
191,"""Had a blast at the #TrumpTrain in #Columbusohio this morning!  Thousands of Patriots on the 270 interstate loop, both ways! MAGA! 🇺🇸🚂✨❤️🤍💙. ... https://t.co/pCuIuVdrJY"""
192,"""https://t.co/r044lLEVhP"""
193,"""For the record,\nThe “noncompliance &amp; distrust of medicine” that Blacks have at large pertaining to gov. lying &amp; using as test subjects, ie #Tuskegee, IS NOT the same as the “protests &amp; noncompliance” of #TrumpSupporters. \n\n#MedTwitter must recognize this. Our approach must differ"""
194,"""@dr_palazzolo @JoeBiden @SenKamalaHarris @SpeakerPelosi They will not scare @realDonaldTrump \nThey will not scare or put the fear in   #TrumpSupporters either"""
195,"""Something I think would bring President @realDonaldTrump and @FLOTUS joy while they’re recovering from #COVID19 is to see #Trending from all their supporters on Twitter that we’re #praying &amp; cheering for them! \n#WeArePrayingForYou\n#MakeAmericaGreatAgain #KeepAmericaGreat\nRetweet"""
196,"""the most cringiest and most ignorant people I’ve ever met #trumpsupporters"""
197,"""I don’t think this is what the pictured when they said #draintheswamp #SuperSpreader #RoseGardenMassacre https://t.co/y3WOD0gUBA"""
198,"""#TrumpTrain on 270 in Columbus,  Ohio https://t.co/1aIaUGvtW8"""
199,"""True! It’s easy to spot #TrumpSupporters most aren’t #WearingAMask! @lynnanddana"""
200,"""NEW: Nearly 50,000 airline workers are set to be furloughed starting Thursday morning after Congress fails to pass a last-minute deal to extend coronavirus relief aid to the embattled industry. https://t.co/RofqHEpz6k"""
201,"""Trump is my guy because he is pro life and an upstanding guy. Praise him. #trumpsupporters https://t.co/PjHV4hoTlZ"""
202,"""There is no longer a question of \"""
203,"""Amen!!#trumpsupporters are children. https://t.co/3tGcLplbkx"""
204,"""But the shooter was a Hilary supporter &amp; angry that Trump won!! He chose that event to hurt #TrumpSupporters little did he know Country music fans love this nation and don’t let politics divide us!!"""
205,"""Vote like your life depends on it."""
206,"""Biden looks pretty good in those stripes.. prison seems like a good place for him☠️ #trump2020 #TrumpTrain https://t.co/MCHXmt84fA"""
207,"""Parscale stole $40 mil from the Trump Campaign and $10 Mil from  the RNC and bought $300,000 of cars (&amp; 8boats) #TrumpSupporters are donating and Bannon and Parscale are pocketing your money. #CorruptGOP"""
208,"""@Eiggam5955 Relocate them to Siberia, or to the Great Pacific Garbage Patch.\nThey don't love our country; let them go to the Russia they tacitly support, or to the effects of pollution &amp; global warming that they don't believe in.\nThey are UnAmerican to the bone.\n#Deplorables #TrumpSupporters https://t.co/FCyc5Y57Gv"""
209,"""Border Wall update:\n\n321 miles complete\n417 miles in-progress\n\nSource: U.S. Border Patrol Chief\n\n#BuildTheWall"""
210,"""CRYING LAUGHING THIS MORNING!!!🤣 \n#TrumpSupporters https://t.co/0G2qcDLUar"""
211,"""@SenTedCruz Enjoy the ride, \"""
212,"""Donald Trump successfully created a new “American Enemy”, China.\nhttps://t.co/rKONw2sHn0\n\n#trump #Trumpeffect #trumpsupporters #TrumpNation  #trumpismypresident #TrumpResistance #China #ChinaVirus #ChinaWatching #Europe #European #India #Asia #USA #AmericaOrTrump #Australia"""
213,"""like everything their secrecy makes it worse, they appear to be indifferent to others' health. Disgusted"""
214,"""OUT TODAY: Report with @chuckgrassley found millions of dollars in questionable financial transactions between Hunter Biden &amp; his associates and foreign individuals, including the wife of the former mayor of Moscow. https://t.co/R1MxQ4xGKP"""
215,"""well, it’s going behind the border wall. #buildthewall #andbedfordshiretoo"""
216,"""#WalkAway #WalkAwayFromDemocrats #DefundNFL #Trump2020Landslide #Trump2020 #KAG2020 VoteRED(#RemoveEverydemocRAT) #DefundWelfare #BackTheBlue #BoycottNBA #BoycottNBA2K21 #LawAndOrderNow #BuildTheWall #JimCrowJoe"""
217,"""Aerial Drone view of Yuma Sector Wall in San Luis, AZ\n\nSource: #CBP\n\nVIDEO https://t.co/CMUsPWD2DY\n\n#BuildTheWall #FinishTheWall\n#QuikTake qt-cbp-vid-101 by #borderObserver https://t.co/ogkInTlIdi"""
218,"""why is the COVID affecting only republican political figures?\n#TrumpTrain"""
219,"""Make sure your vote is counted. Please share. #trumptrain #trump2020 ⁦@realDonaldTrump⁩  https://t.co/VPaAub5KEZ"""
220,"""Nothing but LOVE here at @BrandonStraka’s #WalkAway #UnsilentMajority March! ⠀\n⠀\nAmericans from ALL walks of life have gathered in DC to WALK AWAY from the @DNC https://t.co/82V2D8foF0"""
221,"""The #WalkAway #UNSILENT Majority March on Washington DC https://t.co/l54GSLIMVT via @YouTube"""
222,"""#TrumpSupporters @GOP Time to learn"""
223,"""Photos released by CBP from the most recent stashes in Edinburg and Mission. https://t.co/0HkCrqxJGF"""
224,"""Wait what ? he actually said this 😶\n#Trump2020LandslideVictory #MAGA2020 #trump2020 #MakeAmericaGreatAgain https://t.co/bNWOdIvlGa"""
225,"""@SteveSchmidtSES @ProjectLincoln Washington is burning. Looks like the cleanup we've called for for ages is actually goin to happen. \n\nVia an out of control virus. \n\n😎👍🏻"""
226,"""Didn’t take long.\n\n#TrumpSupporters #Antisemitism https://t.co/opVX8jknb4"""
227,"""💥Breaking: \nOut of an abundance of caution @realDonaldTrump is being transported to Walter Reed for the next few days. He will continue to work from there...\nWe are praying for you, Mr. President! \n#PrayForTrump #MAGA\n#TrumpCovid"""
228,"""Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain \nhttps://t.co/8m0dNPTtt6"""
229,"""At the #WalkAway Unsilent Majority March on Washington there are about 8,000 registered attendees for the main rally. They have ex-military including #NavySEALs and Army Rangers in plain clothes doing recon to prevent any disruptions by counter-protests. https://t.co/S6RqROaylN"""
230,"""The Yellow probrem #buildthewall https://t.co/6g4gdqOahQ https://t.co/dxx4XF8pR2"""
231,"""I have identified 96 tweets mentioning #MAGA that were tweeted by inauthentic accounts. More information here: https://t.co/E5MBaNCDfC"""
232,"""pack it up trump supporters 🙄 #MakeAmericaGreatAgain  https://t.co/HlFzIdy56i"""
233,"""Sorry for you!!!!!🇺🇸 #TrumpTrain https://t.co/VQyriHrhJi"""
234,"""@JoeBiden If covid doesn’t get you, time and old age will. You and crazy Nancy look like a walking corpse. Time to #Draintheswamp"""
235,"""Waiting for President #Trump in his #MakeAmericaGreatAgain rally in #Duluth #Minnesota https://t.co/bUgBUmOzny"""
236,"""Real.\n\n#trumpsupporters #gop #buildthewall #merica #republican #protest #protest_peacefully #protests #protestsigns #protests2020 #protesting #tuckercarlson #tuckercarlsontonight https://t.co/Qx8w1zWA8U"""
237,"""Hey, #MAGA folks, don't you EVER feel a little bit... I don't know... maybe... conned by this Scam artist? \nWhat a farce!\n#TrumpCult \n#TrumpSupporters are #TrumpsSheep #TrumpMarks"""
238,"""Volunteer t'be a Trump Election Poll Watcher. Sign oop today! #MakeAmericaGreatAgain \n #MakeYorkshireGreatAgain #YorkshireDT"""
239,"""#SteveBannon said he was working as he shud to #BuildTheWall, that the left is criminalizing political speech."""
240,"""It’s an actual dog and pony show!!  🐕 🐎 😂🤣\n\nThese two beautiful friends are ADORABLE!  Enjoy. \n\n❤️❤️❤️\n\n#Animals \n#OVTTDS\n#ONEv1 \n\n https://t.co/7jPvf9qz8s"""
241,"""They can dish it out, but, can't take it. 🤣\n#TrumpSupporters \n#TrumpIsANationalDisgrace \n#VoteHimOut2020 https://t.co/yn4AQ7nAPV"""
242,"""please go tell your moralizing tone policing to the pile of corpses he's responsible for."""
243,"""My controversial local government boundaries opinion: Nigel Farage actually lives in Bromley, not Kent."""
244,"""#BREAKING: Chris Christie is in the hospital after testing positive for #COVID19. @DanaBashCNN reports he checked himself into hospital as a precautionary measure."""
245,"""If you aren’t a pasenger on the #trumptrain we can’t be pals"""
246,"""Detective Myles Cosgrove, the Louisville police officer who fatally shot Breonna Taylor, is currently raising money to fund his retirement. https://t.co/iq4aYiNPTH"""
247,"""Wow, big news. Pick it up Lamestream Media, and pick it up BIG!"""
248,"""As soon as I saw it, i knew what must be done. HaVe SoMe EnErGy #MakeAmericaGreatAgain https://t.co/EqGFwKhOnO"""
249,"""I don’t care what leftists say about the President. My only care about it is this: undecided voters,pay attention.Our side would never wish death upon Biden or anyone else. We’d never celebrate him being sick. Don’t become like them. Choose love &amp;compassion. Come to where we are."""
250,"""@LizRNC Who is that masked man?\n\n#GOPCowards #RVAT2020 #MAGA https://t.co/iM6XFpgxJR"""
251,"""#TrumpSupporters are not always opposed to mask wearing https://t.co/b861B8OV5P"""
252,"""Hey #ReligiousRight #MAGA / #Christians: Here’s the REAL “WarOnChristmas,” you IGNORANT, GULLIBLE phuckers!! #MelaniaHatesChristmas \n🤣😂🤣\n\n https://t.co/5etNun5z1h\n\n#tcot #BuildTheWall #MelaniaTapes #KAG #evangelicals #AmericaOrTrump #MerryChristmas #Christmas #UniteBlue #p2"""
253,"""I was 8 years old when Joe Biden was first elected to the United States Senate.\n\nDrain the Swamp!"""
254,"""Does anyone else find it odd that no prominent Democrats have had the virus but the list of Republicans goes on and on?"""
255,"""In honor of #climatechange and in the spirit of recycling ....\nHow about we gather up the #SOROS delivered Antifa/BLM riot bricks and use them for our big beautiful WALL!?!                 \n\n#BuildtheWALL #Trump2020 https://t.co/Edc867OqTU"""
256,"""Not to make you feel too old, @Jim_Jordan, but Biden was elected to the Senate 7 years before I was born. Agree, #DrainTheSwamp"""
257,"""@KellyannePolls Oh wait, the fake virus? Take care of you and your family and get off the #TrumpTrain. https://t.co/kvqfVEY5QX"""
258,"""#MAGA rally @StPete getting started https://t.co/L2dh8YcpPy"""
259,"""BREAKING: CARDI B AND SISTER ARE BEING SUED BY #TRUMPSUPPORTERS \n\nhttps://t.co/WHnsICYkpY"""
260,"""@seungminkim @maggieNYT Regeneron two days ago puts it at Thursday. Friday 1 am when the diagnosis was announced by Twitter is after that. They are trying to raise a fog around the timeline because he knew he was positive when he went to Bedminster and his supporters are pissed!"""
261,"""I smell civil war in the United states.. #قولوا_انشالله\n#TrumpSupporters"""
262,"""In honor of the first presidential debate tomorrow....#Trump2020 #MakeAmericaGreatAgain https://t.co/6znHYg2smX"""
263,"""Is this who you want as President? Really?\n\n#trump #maga #kag #republican #conservative #donaldtrump #usa #trumptrain #keepamericagreat #makeamericagreatagain #wwg #qanon #wga #america #draintheswamp #americafirst #a #trumpsupporters #walkaway #buildthewall #covid #politics https://t.co/ubA0tJLEFK"""
264,"""#republican #trump #maga #conservative #donaldtrump #usa #politics #democrat #america #kag #makeamericagreatagain  #trumptrain #keepamericagreat #democrats #gop #republicans #americafirst #freedom  #election #draintheswamp #rightwing #trumpsupporters #walkaway #buildthewall"""
265,"""Come on @realDonaldTrump, drink up, it's time to go and #MakeAmericaGreatAgain ! https://t.co/eWpgxDObjl"""
266,"""I hope a fast recovery health. Honor and strength💪🏼🇺🇲 @realDonaldTrump \n#MakeAmericaGreatAgain https://t.co/cxSTdZdWJH"""
267,"""https://t.co/5FWsK9vDpU\nSorry. Minnesota , mistake in 2016! #EllectRepublicans #TrumpSupporters"""
268,"""@CNNPolitics https://t.co/u6e58zFCdy"""
269,"""Awesome! Thanks to President @realDonaldTrump with no help from the do nothing dems. #BuildTheWall #SecureTheBorder"""
270,"""@Myers6287R @SSelly69 I #BackTheBlue  I just don't back #TrumpSupporters real police don't back #TraitorTrump https://t.co/TVc4Lh9TTa"""
271,"""Supporting my dear President! @realdonaldtrump  @whitehouse  #trump2020  #trump2020🇺🇸 #trumpsupporters  #votolatino https://t.co/N2q4cQqu6H"""
272,"""Yesterday, I shared my proposal #SurvivorToInvestor. \n\nIn short.. nonviolent drug dealers receive amnesty for 1 year. They would take their street cash, flip Baltimore’s 17k vacant homes. Leave the street life behind as real estate investors. Homes will enter rent-own program. https://t.co/u2wnBs2Bpc"""
273,"""What's with all these cars in Chicago waving Mexican flags ?"""
274,"""Nineteen fashion designers have created looks for Joe Biden’s campaign. The results are mixed—but nearly anything is better than Donald Trump’s “#BuildTheWall” T-shirt. https://t.co/3Cqv6J3zDR"""
275,"""@AngelWarrior321 I say the NY Times needs to remove their one sided opinions and close their doors.  #Trump2020 #MAGA"""
276,"""@BrandonStraka This is one of the key reasons I walked away.  \n\nWhen John Lewis and RBG died, I saw overwhelming respect from most conservatives.  \n\nWhen Herman Cain, Robert Trump &amp; Kingface died, I saw too much spiteful gloating and glee from liberals.\n\n#WalkAway from hate."""
277,"""who wants to burn this hat with me #MakeAmericaGreatAgain #trump2020 https://t.co/dSoAkJkomS"""
278,"""About his #trumpsupporters https://t.co/14XNzSMNI1"""
279,"""I’m gathering my #Walkaway brothers and sisters and TONIGHT AT 6pm in DC we’re joining others at #WalterReedHospital to pray fervently for @realDonaldTrump and @FLOTUS. They are healed in Jesus name!"""
280,"""Come and join us on Hagaman and coffee FLAG WAVE! Patriots 1776 Kern County in Bakersfield #makeamericagreatagain🇺🇸 #hat #marinelapavletich #trump2020🇺🇸 #photographerbymarinelapavletich #bakersfield #california #teamtrumpmaga #videobymarinelapavletich #selfiemarinelapavletich https://t.co/NVNHK9FMJN"""
281,"""Interrupting is one thing... To call your opponent a “clown”, the “worst president ever” or telling them to “shut up” is the most unprofessional thing I’ve ever seen, especially in a presidential debate!! #MakeAmericaGreatAgain"""
282,"""The Canadian woman charged for sending ricin to President Trump &amp; law enforcement agencies in Texas was previously deported. Pascale Ferrier tried to cross back into the US on Sunday &amp; was found carrying a gun. She recently tweeted about killing Trump. https://t.co/nvACsTHsTP https://t.co/EnuKaViQwY"""
283,"""@TimEdwardsZero4 This is all you need to see....\n\"""
284,"""How come #TARGETEDINDIVIDUALS can't band together like #qanon &amp; #maga?"""
285,"""... the Charlottesville lawsuit. Anglin’s site takes its name from #DerStürmer, a newspaper that published #Nazi propaganda. The site includes sections called “Jewish Problem” and “Race War.” For months, the site struggled to stay online after Anglin published a post mocking... https://t.co/gJIhZop1aK"""
286,"""Border Wall Update: \n\n331 Miles Complete\n407 Miles In-Progress\n\n#BuildTheWall"""
287,"""The widow of Steve Jobs—Laurene Powell Jobs donated at least $500,000 to Joe Biden's campaign this year.\n\nDo you know who owns a majority stake in The Atlantic?\n\nLaurene Powell Jobs.\n\n🤔"""
288,"""Over the next 30 days, as you vote, I have one request:\n\nRemember what the Left said today about President @realDonaldTrump and @FLOTUS and the Coronavirus. \n\nThen fill in your ballot."""
289,"""Vehicles like this try to appear as though they are part of the Border Wall project. Blending in with traffic is part of the TCO's tactic. If you see something, say something. You have to move, store, and sell your product.\n#BuildTheWall\n@realDonaldTrump\nhttps://t.co/azjTXgrabm"""
290,"""The dumbest of the dumb #trumpsupporters are the #qanon believers https://t.co/r6efovxvXg"""
291,"""@realDonaldTrump @FLOTUS Nothing can stop the #TrumpTrain ! Love from your Iranian fans 🖤 #trumpbeatscorona #chinavirus https://t.co/rQcZB3Sa80"""
292,"""@KamalaHarris @JoeBiden Loosers!\n#MakeAmericaGreatAgain https://t.co/sYovn0ckPB"""
293,"""#TrumpSupporters all running to get their #mask this morning... https://t.co/BPTksJqUuj"""
294,"""@GOPChairwoman @realDonaldTrump Explain that to the dead people #TrumpVirus"""
295,"""SEATTLE—RIOTS ARE CREATING TRUMP SUPPORTERS 🇺🇸\n\n“4 years ago, I was laughing at Trump. I live in Seattle...these are not peaceful protests. I’ve never owned a gun until just now, until they started talking about defunding the police.” #riots #seattleprotest https://t.co/RRITGvnIaw"""
296,"""Police say that after brutally beating the elderly woman to death, the illegal immigrant told them that the victim fell down the stairs and died. https://t.co/wG4LECHgee"""
297,"""Woman who sent letter containing poison ricin to @POTUS  was arrested as she tried to enter US from Canada border crossing in New York state a US law enforcement official said. Woman was carrying a gun &amp; arrested. #BodersMatter #BuildTheWall #LawAndOrder [pray]"""
298,"""Prayers for the President: @robertjeffress encourages all Americans to pray for President @realDonaldTrump and for his speedy recovery from the China Virus. #AmericaFirst #MAGA #Dobbs https://t.co/WXqDeZqgLX"""
299,"""checking in on the ICE officers protecting our borders❤️ #BuildTheWall"""
300,"""@BigStick2013 Nothing specific and no evidence, of course, because Biden isn't lying. But then, I guess it's what you should expect to pass as \"""
301,"""@WhiteHouse Why are you saying nothing about the ARMED WHITE NATIONALIST #TrumpSupporters intimidating drivers in #LouisvilleKy today ?????"""
302,"""#MAGA This Is The Real Deal For A Secure Future. #Business MAKE MONEY QUICKLY! Receive The Large Income You Deserve To Have! No Layoffs. No Waiting. We Help Everyone To Succeed. Receive Email Notifications When - \"""
303,"""This is your First Lady, #MAGA #Trumpsupporters, lol. Dont forget vote @JoeBiden"""
304,"""Vote Biden in 2020 so we can begin to #MakeAmericaGreatAgain"""
305,"""If Republicans don't move ahead to confirm Barrett than they're committing political suicide in the presidential election. Democrats mean to manufacture votes thru mail in ballot counts. Need Barrett's vote to stymie fraud in blue states. #MAGA \nhttps://t.co/vO9db4dYiB"""
306,"""Trump supporters will believe all the words that Trump says but won’t educate themselves on the truth. \nThey act as if he is God. 🤮\n#TrumpSupporters #FuckTrump"""
307,"""Right outside #WalterReedHospital Is it me or is the American Flag, becoming a Trump logo? #VoteHimOut #TrumpCovid #TrumpMeltdown #VoteBidenHarris2020 #RoseGardenMassacre #TrumpHasCovid #TrumpSupporters #flag #americanflag #embarrassing https://t.co/723EVneScx"""
308,"""Remember when this goy was gonna save us?\n#LockHerUp \n#BuildTheWall \n#DrainTheSwamp https://t.co/2iXN1CLIcK"""
309,"""HEY #MAGA FOLKS! THIS ONE'S FOR YOU!!! https://t.co/JAZSQeVMdb"""
310,"""President Trump never said Covid itself was a HOAX he said Democrats’ response to Covid blaming him &amp; extending lockdowns was their latest hoax which is TRUE. \nWhile Pres. Trump was taking action, Dems spent Jan &amp; Feb telling people to go China town &amp; join crowds. Let’s watch: https://t.co/8iBpkU08mu"""
311,"""The combination of growing public unrest and a \"""
312,"""are angry because all of you #TrumpSupporters don't seem to understand that you are asking us to give the #POTUS a level of love patience and understanding that he...denied...US!\"""
313,"""They can go fuck themselves.\n#TrumpSupporters"""
314,"""#MakeAmericaGreatAgain vote him out https://t.co/iwYH5qgd5d"""
315,"""@John_F_Kennnedy I hear the train a comin'\nIt's rollin' 'round the bend,\nAnd I ain't seen Biden\nSince, I don't know when\nI'm stuck in Soros Prison\nAnd time keeps draggin' on\nBut that train keeps a-rollin'\nOn down to November 3rd\n\n#TrumpTrain"""
316,"""Country rattled after Trump's positive COVID-19 diagnosis https://t.co/zAsImniQVw https://t.co/xReFF2gySO"""
317,"""@charliekirk11 Oh, we saw how #MAGA reacted to RBG's death - we will give IMPOTUS the same level of respect. \n#TrumpVirus https://t.co/hNCHUm91v8"""
318,"""Thoughts and prayers for the glad-handing stooges who want to get on the #TrumpTrain.\n\nGOP donors 'freaking out' after coming close to Trump at fundraiser hours before his positive Covid-19 test https://t.co/1Kuo9Hbcqb"""
319,"""@mallrat1982 History repeats itself!!!!! Why?  Hilter and evil had to go somewhere. Evil is still here it just keeps coming, and we don't see it over and over we have sheep who fall for the lies and no accountability. Bigots and blamers for our problems, We blame others, look in the mirror"""
320,"""It’s a beautiful day to #WalkAway in DC! Come to the Sylvan Theater at the Washington Monument! I speak at 2:20 PM!\n\nhttps://t.co/TSoEnRsotp"""
321,"""Trump... as if it wasn't enough that he was racist against Mexicans, now he's racist against Canadians too... Orange Man Bad! \n\n#BuildTheWall #Trump #Trump2020 #Border \n\nhttps://t.co/yU3Zrk3sKS"""
322,"""Thank you Mr. President! #MAGA #DrainTheSwamp #AmericaFirst"""
323,"""@stillgray Trump is racist.\n\nTrump is fascist.\n\nTrump is psychotic.\n\nTrump is treasonous.\n\nTrump is plotting a coup.\n\nThat damn criminal needs to GO.\n\n#LyingLindsey McConnell and McCarthy nlrb Breonna's Law US Capitol DeSantis Conrad Ann Teefa Marsha Blackburn Flynn 500B Black America"""
324,"""As I read interviews with Trump supporters, I'm shocked at how deeply their delusions about Trump run. \n\nOne thing I see over and over is \"""
325,"""@Jim_Jordan In 4 years 7.20 mill Americans sick. 205 thousand Americans our families our friends dead. Our businesses closed,jobs lost. Watching men shower without penalty in colleges has no consequences. All under Jim’s watch. Trump calls our military losers and has no plan. \n#DrainTheSwamp https://t.co/grubMndDro"""
326,"""We love our police 👮‍♀️ #LawAndOrder #BackTheBlue #AllLivesMatter #Blacklivesmatter #BlueLivesMatter band is not a fan of consequences for your actions #Crimes #AntifaTerrorists #Antifa #Trump2020 #TrumpTrain #Trump"""
327,"""The best is yet to come @POTUS we will keep the faith &amp; the #TrumpTrain rolling!  Feel better soon! \n\n- Your MAGA family #Trump2020🇺🇸🙏❤️"""
328,"""The perfect timing needed to capture all this in a photo makes me question if it’s real. That said, it’s AMAZING. I mean like go down in history type of amazing. U have to find moments of humor where you can😆 #TrumpSupporters #BLM"""
329,"""2020 debate drinking game\n#Debate  #TrumpTrain https://t.co/03sCKwqkmw"""
330,""".#Melania: “Who gives a fuck about Christmas stuff and decoration?”\n\nOh...my...fucking...God. #Trump https://t.co/T5TS1jZXrS"""
331,"""Normally I wouldn’t shed a tear for @realDonaldTrump but I hope he doesn’t die because then he would not only become a martyr for the @GOP, his #QanonArmy, #TrumpSupporters, and #TrumpsCult, but they would claim that @JoeBiden really didn’t win the election."""
332,"""Border Patrol KNOWS what it takes to secure the border. But during the Spring of 2019 crisis it took 60% of the manpower dedicated to the humanitarian crisis.\n\n1+ minute\n\n#BuildTheWall #FinishTheWall https://t.co/jZe0RyDnH8\n#quikTake qt-cbp-vid-018 by #borderObserver"""
333,"""This thread is impeccable and informative. It would be nice if #TrumpSupporters and #MAGA would actually take the time to read it."""
334,"""Back in his comfort zone, Joe Biden hits Amtrak and the campaign trail https://t.co/KT1NQhyUpK"""
335,"""I respect your privacy"""
336,"""... the woman who was killed when a man plowed his car into a crowd of counter-protesters at the “Unite the Right” rally in Charlottesville three years ago.\"""
337,"""@votevets But isn't everything supposed to be making a profit? Like the USPS? (an institution codified in the Constitution and designed to serve the public vs profit off the public) 😂The mental dissonance of these #maga republican morons is astounding. Magas everywhere overcompensating: https://t.co/U8ppQwceky"""
338,"""Having spent 30 years in healthcare, I never imagined I'd be in a position of mocking anyone with an illness. But that orange son of a bitch in the White House and his criminal #MAGA cult does not deserve any level of respect given that they knew and did NOTHING to stop COVID! https://t.co/ppT4wQxsTj"""
339,"""Conciously or not, when white men fight against immigration they are fighting to 'protect' their women.\n\nIt's a fight they are losing. \n\n#whitepeople #immigration #brexit #BuildTheWall #racism"""
340,"""New York Daily News:\n\n#Trump Supporters charged after girl, 12, dies with #lice infestation.\n\n#TrumpSupporters \nhttps://t.co/5M6arXLyZ7"""
342,"""Funny how #TrumpSupporters are quick to say, \"""
343,"""It all makes sense now.. No wait, it really doesn't.. \n #TrumpSupporters \n#TrumpMustGo\n#thursdaymorning https://t.co/6awtqAm6P5"""
344,"""@realDonaldTrump 4 years more!\n#Trump2020\n#4MoreYears \n#MakeAmericaGreatAgain"""
345,"""One way or another there will be law and order #BuildTheWall"""
346,"""Checking out the miles and miles of new 30ft-high border wall installed in Arizona ⏭ https://t.co/x4AIi5Cymh"""
347,"""Follow the train, getting ready for heat races at Wall Stadium\n#TrumpTrain https://t.co/oaYauDu1M1"""
348,"""I want to nominate my boi Tundra for #President He loves everyone and wants to let everybody to live their best lives. He will truly #MakeAmericaGreatAgain His philosophy is: \"""
349,"""Actual footage of @BristolSheriff @SheriffHodgson heading up his #MAGA road trip. https://t.co/EfeimfOhx7"""
350,"""I voted for @Obama the first time and I liked many things about him. The Right treated him like Hitler, but I know so many #TrumpSupporters that are hard working, kind, non-racist people that want America to work for everyone that will take responsibility instead of complaining."""
351,"""I support you PRESIDENT!! #MakeAmericaGreatAgain"""
352,"""Instant #Karma: #Deranged #Driver Slams into #Car While Flipping Off #TrumpSupporters.\n\nPolice immediately respond.\n\nWatch video https://t.co/o5tyJ2Kb6L https://t.co/CXCTp14nkH"""
353,"""I'm boarding the #TrumpTrain if the conductor allows me on board. No way am I boarding the #BidenBus\n#BidenBusDoneBrokeDown"""
354,"""Ready to rock the stage at the #unsilentmajority Rally with my warrior sister ⁦@ShemekaMichelle⁩ in DC! #Walkaway ⁦@RealWalkAway⁩ https://t.co/QKlObDYa3P"""
355,"""On Tuesday April 30 2019, 700 illegal aliens surrendered to #YumaSector #USBP\n\n40 seconds\n\n#BuildTheWall #FinishTheWall #SouthwestBorder https://t.co/2bcihgtDjr\n#quikTake qt-cbp-vid-015 by #borderObserver"""
356,"""#Trumpsupporters are always so full of hate."""
357,"""D.C.: MPD Officers wrestle with BLM agitators at today’s @RealWalkAway rally. Multiple arrests made. #WalkAway https://t.co/qQsyQ8RwWD"""
358,"""I’m getting a lot of angry MAGA people shouting that “the mass graves are not Trump’s fault!”\n\nYES. THEY ARE. The coronavirus is not Trump’s fault. But our government’s HORRENDOUS response to it is 1000% Trump’s fault.\n\nLet’s run through what is INDISPUTABLY Trump’s fault:"""
359,"""Brad Parscale 'is under investigation for stealing $40M from campaign' https://t.co/uMcHsZ9Clm via @MailOnline @GOP @GOPLeader @senatemajldr"""
